fonte_dados,categoria_macro,genero,cor,idade,faixa_etaria,municipio,bairro,sexo,cutis
homicidios,violencia_social,1 MASCULINO,PARDA,26.0,25_34,CARIACICA,SANTO ANTONIO,,
homicidios,violencia_social,1 MASCULINO,PARDA,33.0,25_34,VITORIA,SANTO ANTONIO,,
homicidios,violencia_social,2 FEMININO,NEGRA,29.0,25_34,VITORIA,SANTO ANTONIO,,
homicidios,violencia_social,1 MASCULINO,BRANCA,43.0,35_44,COLATINA,AYRTON SENNA,,
homicidios,violencia_social,1 MASCULINO,PARDA,34.0,25_34,VIANA,MARCILIO DE NORONHA,,
homicidios,violencia_social,1 MASCULINO,PARDA,3.0,0_14,CARIACICA,ORIENTE,,
homicidios,violencia_social,1 MASCULINO,PARDA,31.0,25_34,VILA VELHA,COBI DE CIMA,,
homicidios,violencia_social,1 MASCULINO,BRANCA,35.0,35_44,SERRA,VISTA DA SERRA II,,
homicidios,violencia_social,1 MASCULINO,BRANCA,21.0,18_24,IBIRACU,ELIAS BRAGATO,,
homicidios,violencia_social,1 MASCULINO,PARDA,48.0,45_54,CARIACICA,NOVO BRASIL,,
homicidios,violencia_social,1 MASCULINO,AMARELA,33.0,25_34,PIUMA,CENTRO,,
homicidios,violencia_social,1 MASCULINO,PARDA,20.0,18_24,VILA VELHA,ILHA DOS AYRES,,
homicidios,violencia_social,1 MASCULINO,PARDA,31.0,25_34,CARIACICA,NOVA ROSA DA PENHA II,,
homicidios,violencia_social,1 MASCULINO,BRANCA,43.0,35_44,CACHOEIRO DE ITAPEMIRIM,SANTO ANTONIO,,
homicidios,violencia_social,1 MASCULINO,PARDA,29.0,25_34,SERRA,RESIDENCIAL CENTRO DA SERRA,,
homicidios,violencia_social,1 MASCULINO,PARDA,49.0,45_54,SERRA,CIDADE POMAR,,
homicidios,violencia_social,2 FEMININO,PARDA,36.0,35_44,GOVERNADOR LINDENBERG,NOVO BASIL,,
homicidios,violencia_social,1 MASCULINO,PARDA,25.0,25_34,SERRA,PRAIA DE CARAPEBUS,,
homicidios,violencia_social,1 MASCULINO,PARDA,25.0,25_34,ANCHIETA,JERUSALEM,,
homicidios,violencia_social,1 MASCULINO,NEGRA,38.0,35_44,CARIACICA,CAMPINA GRANDE,,
homicidios,violencia_social,1 MASCULINO,PARDA,17.0,15_17,LINHARES,SANTA CRUZ,,
homicidios,violencia_social,1 MASCULINO,PARDA,55.0,55_64,JAGUARE,NOVO TEMPO,,
homicidios,violencia_social,2 FEMININO,PARDA,33.0,25_34,PEDRO CANARIO,CRISTAL DO NORTE,,
homicidios,violencia_social,1 MASCULINO,PARDA,19.0,18_24,BAIXO GUANDU,SAO PEDRO,,
homicidios,violencia_social,1 MASCULINO,PARDA,43.0,35_44,VITORIA,SANTO ANDRE,,
homicidios,violencia_social,1 MASCULINO,PARDA,37.0,35_44,GUARAPARI,VILLAGE DO SOL,,
homicidios,violencia_social,1 MASCULINO,PARDA,29.0,25_34,LINHARES,PONTAL DO IPIRANGA,,
homicidios,violencia_social,1 MASCULINO,PARDA,22.0,18_24,VITORIA,SANTO ANDRE,,
homicidios,violencia_social,1 MASCULINO,PARDA,30.0,25_34,BOA ESPERANCA,VILA FERNANDES,,
homicidios,violencia_social,1 MASCULINO,PARDA,36.0,35_44,VILA VELHA,COBI DE BAIXO,,
homicidios,violencia_social,1 MASCULINO,BRANCA,27.0,25_34,GUARAPARI,MEAIPE,,
homicidios,violencia_social,1 MASCULINO,PARDA,57.0,55_64,VILA VELHA,CRISTOVAO COLOMBO,,
homicidios,violencia_social,1 MASCULINO,PARDA,29.0,25_34,CONCEICAO DO CASTELO,NICOLAU DE VARGAS E SILVA,,
homicidios,violencia_social,2 FEMININO,NEGRA,34.0,25_34,PIUMA,CEU AZUL,,
homicidios,violencia_social,1 MASCULINO,BRANCA,17.0,15_17,CARIACICA,PORTO DE SANTANA,,
homicidios,violencia_social,1 MASCULINO,NEGRA,52.0,45_54,VILA VELHA,ITAPOA,,
homicidios,violencia_social,1 MASCULINO,BRANCA,34.0,25_34,VILA VELHA,SAO TORQUATO,,
homicidios,violencia_social,1 MASCULINO,PARDA,54.0,45_54,ALEGRE,CENTRO,,
homicidios,violencia_social,1 MASCULINO,PARDA,23.0,18_24,COLATINA,NOVO HORIZONTE,,
homicidios,violencia_social,1 MASCULINO,BRANCA,25.0,25_34,ARACRUZ,POLIVALENTE,,
homicidios,violencia_social,2 FEMININO,PARDA,25.0,25_34,GUARAPARI,BARRO BRANCO,,
homicidios,violencia_social,1 MASCULINO,PARDA,34.0,25_34,ECOPORANGA,DIVINO ESPIRITO SANTO,,
homicidios,violencia_social,1 MASCULINO,BRANCA,43.0,35_44,IBATIBA,CENTRO,,
homicidios,violencia_social,1 MASCULINO,PARDA,20.0,18_24,GUACUI,CENTRO,,
homicidios,violencia_social,1 MASCULINO,PARDA,25.0,25_34,VILA VELHA,BRISAMAR,,
homicidios,violencia_social,1 MASCULINO,NEGRA,39.0,35_44,SERRA,VISTA DA SERRA I,,
homicidios,violencia_social,1 MASCULINO,PARDA,21.0,18_24,CARIACICA,FLEXAL II,,
homicidios,violencia_social,2 FEMININO,PARDA,20.0,18_24,CARIACICA,ORIENTE,,
homicidios,violencia_social,1 MASCULINO,BRANCA,52.0,45_54,MONTANHA,CENTRO,,
homicidios,violencia_social,1 MASCULINO,PARDA,32.0,25_34,SAO GABRIEL DA PALHA,JOAO COLOMBI,,
homicidios,violencia_social,1 MASCULINO,PARDA,19.0,18_24,MUCURICI,AGUA BOA,,
homicidios,violencia_social,1 MASCULINO,PARDA,17.0,15_17,MUCURICI,AGUA BOA,,
homicidios,violencia_social,1 MASCULINO,PARDA,21.0,18_24,VILA VELHA,JOAO GOULART,,
homicidios,violencia_social,1 MASCULINO,PARDA,39.0,35_44,SERRA,NOVA ALMEIDA,,
homicidios,violencia_social,1 MASCULINO,PARDA,27.0,25_34,VILA VELHA,NORMILIA DA CUNHA,,
homicidios,violencia_social,1 MASCULINO,BRANCA,48.0,45_54,VILA VELHA,ARACAS,,
homicidios,violencia_social,1 MASCULINO,NEGRA,15.0,15_17,VILA VELHA,ULISSES GUIMARAES,,
homicidios,violencia_social,1 MASCULINO,PARDA,31.0,25_34,COLATINA,BENJAMIM CARLOS DOS SANTOS,,
homicidios,violencia_social,2 FEMININO,BRANCA,77.0,65_PLUS,VILA VELHA,ITAPOA,,
homicidios,violencia_social,1 MASCULINO,NEGRA,18.0,18_24,VILA VELHA,COBI DE BAIXO,,
homicidios,violencia_social,1 MASCULINO,PARDA,18.0,18_24,CARIACICA,NOVA ROSA DA PENHA,,
homicidios,violencia_social,1 MASCULINO,BRANCA,19.0,18_24,AFONSO CLAUDIO,SAO FRANCISCO,,
homicidios,violencia_social,1 MASCULINO,PARDA,16.0,15_17,SAO MATEUS,GURIRI,,
homicidios,violencia_social,1 MASCULINO,PARDA,22.0,18_24,VILA VELHA,SAO TORQUATO,,
homicidios,violencia_social,1 MASCULINO,PARDA,19.0,18_24,VITORIA,MARIO CYPRESTE,,
homicidios,violencia_social,1 MASCULINO,PARDA,22.0,18_24,SERRA,COSTA DOURADA,,
homicidios,violencia_social,1 MASCULINO,PARDA,40.0,35_44,ITAPEMIRIM,CAMPO ACIMA,,
homicidios,violencia_social,1 MASCULINO,NEGRA,19.0,18_24,FUNDAO,CAMPESTRE,,
homicidios,violencia_social,1 MASCULINO,PARDA,14.0,0_14,VITORIA,GRANDE VITORIA,,
homicidios,violencia_social,1 MASCULINO,NEGRA,23.0,18_24,ITAGUACU,SANTA FE,,
homicidios,violencia_social,1 MASCULINO,PARDA,49.0,45_54,ITAPEMIRIM,GOMES,,
homicidios,violencia_social,1 MASCULINO,PARDA,20.0,18_24,LINHARES,INTERLAGOS,,
homicidios,violencia_social,2 FEMININO,PARDA,25.0,25_34,VILA VELHA,GLORIA,,
homicidios,violencia_social,1 MASCULINO,PARDA,47.0,45_54,COLATINA,BELA VISTA,,
homicidios,violencia_social,1 MASCULINO,PARDA,23.0,18_24,SERRA,VISTA DA SERRA I,,
homicidios,violencia_social,1 MASCULINO,PARDA,37.0,35_44,ITAPEMIRIM,GARRAFAO,,
homicidios,violencia_social,2 FEMININO,BRANCA,1.0,0_14,COLATINA,AYRTON SENNA,,
homicidios,violencia_social,1 MASCULINO,NEGRA,29.0,25_34,GUARAPARI,OLARIA,,
homicidios,violencia_social,1 MASCULINO,PARDA,30.0,25_34,LINHARES,NOVA ESPERANCA,,
homicidios,violencia_social,1 MASCULINO,PARDA,26.0,25_34,CACHOEIRO DE ITAPEMIRIM,DOUTOR GILSON CARONE,,
homicidios,violencia_social,1 MASCULINO,NEGRA,27.0,25_34,LINHARES,ARACA,,
homicidios,violencia_social,1 MASCULINO,NEGRA,18.0,18_24,CACHOEIRO DE ITAPEMIRIM,DOUTOR GILSON CARONE,,
