periodo_dia,municipio,categoria_macro,quantidade
NOITE,BOA ESPERANCA,patrimonial,16
NOITE,BOA ESPERANCA,objetos,8
TARDE,BOA ESPERANCA,violencia_social,28
TARDE,BOA ESPERANCA,patrimonial,19
MADRUGADA,BOM JESUS DO NORTE,violencia_social,10
MADRUGADA,BOM JESUS DO NORTE,objetos,5
MADRUGADA,BOM JESUS DO NORTE,patrimonial,4
MANHA,BOM JESUS DO NORTE,patrimonial,13
MANHA,BOM JESUS DO NORTE,violencia_social,8
MANHA,BOM JESUS DO NORTE,objetos,6
NOITE,BOM JESUS DO NORTE,violencia_social,24
NOITE,BOM JESUS DO NORTE,patrimonial,12
NOITE,BOM JESUS DO NORTE,objetos,5
TARDE,BOM JESUS DO NORTE,patrimonial,12
TARDE,BOM JESUS DO NORTE,violencia_social,12
TARDE,BOM JESUS DO NORTE,objetos,2
MADRUGADA,BREJETUBA,violencia_social,4
MADRUGADA,BREJETUBA,objetos,1
MADRUGADA,BREJETUBA,patrimonial,1
MANHA,BREJETUBA,patrimonial,13
MANHA,BREJETUBA,violencia_social,11
MANHA,BREJETUBA,objetos,1
NOITE,BREJETUBA,violencia_social,17
NOITE,BREJETUBA,patrimonial,8
NOITE,BREJETUBA,objetos,2
TARDE,BREJETUBA,patrimonial,22
TARDE,BREJETUBA,violencia_social,21
TARDE,BREJETUBA,objetos,2
MADRUGADA,CACHOEIRO DE ITAPEMIRIM,violencia_social,157
MADRUGADA,CACHOEIRO DE ITAPEMIRIM,patrimonial,152
MADRUGADA,CACHOEIRO DE ITAPEMIRIM,objetos,68
MADRUGADA,CACHOEIRO DE ITAPEMIRIM,digital,2
MANHA,CACHOEIRO DE ITAPEMIRIM,patrimonial,649
MANHA,CACHOEIRO DE ITAPEMIRIM,violencia_social,235
MANHA,CACHOEIRO DE ITAPEMIRIM,objetos,54
MANHA,CACHOEIRO DE ITAPEMIRIM,digital,5
NOITE,CACHOEIRO DE ITAPEMIRIM,patrimonial,419
NOITE,CACHOEIRO DE ITAPEMIRIM,violencia_social,361
NOITE,CACHOEIRO DE ITAPEMIRIM,objetos,176
NOITE,CACHOEIRO DE ITAPEMIRIM,digital,2
TARDE,CACHOEIRO DE ITAPEMIRIM,patrimonial,856
TARDE,CACHOEIRO DE ITAPEMIRIM,violencia_social,317
TARDE,CACHOEIRO DE ITAPEMIRIM,objetos,62
TARDE,CACHOEIRO DE ITAPEMIRIM,digital,11
MADRUGADA,CARIACICA,patrimonial,710
MADRUGADA,CARIACICA,objetos,692
MADRUGADA,CARIACICA,violencia_social,218
MADRUGADA,CARIACICA,digital,7
MANHA,CARIACICA,patrimonial,1715
MANHA,CARIACICA,objetos,682
MANHA,CARIACICA,violencia_social,288
MANHA,CARIACICA,digital,41
NOITE,CARIACICA,patrimonial,1334
NOITE,CARIACICA,objetos,1218
NOITE,CARIACICA,violencia_social,504
NOITE,CARIACICA,digital,36
TARDE,CARIACICA,patrimonial,2202
TARDE,CARIACICA,objetos,637
TARDE,CARIACICA,violencia_social,362
TARDE,CARIACICA,digital,79
MADRUGADA,CASTELO,patrimonial,37
MADRUGADA,CASTELO,violencia_social,26
MADRUGADA,CASTELO,objetos,13
MADRUGADA,CASTELO,digital,3
MANHA,CASTELO,patrimonial,120
MANHA,CASTELO,violencia_social,49
MANHA,CASTELO,digital,27
MANHA,CASTELO,objetos,7
NOITE,CASTELO,violencia_social,76
NOITE,CASTELO,patrimonial,62
NOITE,CASTELO,objetos,11
NOITE,CASTELO,digital,7
TARDE,CASTELO,patrimonial,174
TARDE,CASTELO,violencia_social,39
TARDE,CASTELO,digital,23
TARDE,CASTELO,objetos,16
MADRUGADA,COLATINA,violencia_social,138
MADRUGADA,COLATINA,patrimonial,109
MADRUGADA,COLATINA,objetos,48
MADRUGADA,COLATINA,digital,5
MANHA,COLATINA,patrimonial,347
MANHA,COLATINA,violencia_social,192
MANHA,COLATINA,digital,69
MANHA,COLATINA,objetos,38
NOITE,COLATINA,violencia_social,353
NOITE,COLATINA,patrimonial,252
NOITE,COLATINA,objetos,75
NOITE,COLATINA,digital,39
TARDE,COLATINA,patrimonial,580
TARDE,COLATINA,violencia_social,226
TARDE,COLATINA,digital,106
TARDE,COLATINA,objetos,43
MADRUGADA,CONCEICAO DA BARRA,patrimonial,27
MADRUGADA,CONCEICAO DA BARRA,objetos,15
MADRUGADA,CONCEICAO DA BARRA,violencia_social,15
MADRUGADA,CONCEICAO DA BARRA,digital,1
MANHA,CONCEICAO DA BARRA,patrimonial,61
MANHA,CONCEICAO DA BARRA,violencia_social,33
MANHA,CONCEICAO DA BARRA,objetos,14
MANHA,CONCEICAO DA BARRA,digital,8
NOITE,CONCEICAO DA BARRA,violencia_social,56
NOITE,CONCEICAO DA BARRA,patrimonial,43
NOITE,CONCEICAO DA BARRA,objetos,33
NOITE,CONCEICAO DA BARRA,digital,3
TARDE,CONCEICAO DA BARRA,patrimonial,106
TARDE,CONCEICAO DA BARRA,violencia_social,39
TARDE,CONCEICAO DA BARRA,objetos,21
TARDE,CONCEICAO DA BARRA,digital,15
MADRUGADA,CONCEICAO DO CASTELO,patrimonial,4
MADRUGADA,CONCEICAO DO CASTELO,violencia_social,4
MADRUGADA,CONCEICAO DO CASTELO,objetos,2
MANHA,CONCEICAO DO CASTELO,patrimonial,21
MANHA,CONCEICAO DO CASTELO,violencia_social,7
MANHA,CONCEICAO DO CASTELO,objetos,4
MANHA,CONCEICAO DO CASTELO,digital,1
NOITE,CONCEICAO DO CASTELO,violencia_social,36
NOITE,CONCEICAO DO CASTELO,patrimonial,8
NOITE,CONCEICAO DO CASTELO,digital,2
TARDE,CONCEICAO DO CASTELO,patrimonial,28
TARDE,CONCEICAO DO CASTELO,violencia_social,20
TARDE,CONCEICAO DO CASTELO,objetos,1
MADRUGADA,DIVINO DE SAO LOURENCO,patrimonial,1
MADRUGADA,DIVINO DE SAO LOURENCO,violencia_social,1
MANHA,DIVINO DE SAO LOURENCO,patrimonial,4
MANHA,DIVINO DE SAO LOURENCO,violencia_social,4
MANHA,DIVINO DE SAO LOURENCO,objetos,1
NOITE,DIVINO DE SAO LOURENCO,violencia_social,4
NOITE,DIVINO DE SAO LOURENCO,patrimonial,1
TARDE,DIVINO DE SAO LOURENCO,violencia_social,5
TARDE,DIVINO DE SAO LOURENCO,patrimonial,3
MADRUGADA,DOMINGOS MARTINS,patrimonial,10
MADRUGADA,DOMINGOS MARTINS,violencia_social,10
MADRUGADA,DOMINGOS MARTINS,objetos,8
MANHA,DOMINGOS MARTINS,patrimonial,23
MANHA,DOMINGOS MARTINS,violencia_social,7
MANHA,DOMINGOS MARTINS,objetos,6
NOITE,DOMINGOS MARTINS,violencia_social,25
NOITE,DOMINGOS MARTINS,patrimonial,14
NOITE,DOMINGOS MARTINS,objetos,6
TARDE,DOMINGOS MARTINS,patrimonial,47
TARDE,DOMINGOS MARTINS,violencia_social,23
TARDE,DOMINGOS MARTINS,objetos,10
MADRUGADA,DORES DO RIO PRETO,patrimonial,1
MADRUGADA,DORES DO RIO PRETO,violencia_social,1
MANHA,DORES DO RIO PRETO,patrimonial,9
MANHA,DORES DO RIO PRETO,violencia_social,9
NOITE,DORES DO RIO PRETO,violencia_social,9
NOITE,DORES DO RIO PRETO,patrimonial,5
TARDE,DORES DO RIO PRETO,patrimonial,11
TARDE,DORES DO RIO PRETO,violencia_social,4
MADRUGADA,ECOPORANGA,violencia_social,17
MADRUGADA,ECOPORANGA,patrimonial,7
MANHA,ECOPORANGA,violencia_social,9
MANHA,ECOPORANGA,patrimonial,8
MANHA,ECOPORANGA,digital,2
NOITE,ECOPORANGA,violencia_social,20
NOITE,ECOPORANGA,patrimonial,8
NOITE,ECOPORANGA,digital,2
TARDE,ECOPORANGA,patrimonial,15
TARDE,ECOPORANGA,violencia_social,13
TARDE,ECOPORANGA,digital,2
MADRUGADA,FUNDAO,patrimonial,18
MADRUGADA,FUNDAO,violencia_social,12
MADRUGADA,FUNDAO,objetos,6
MANHA,FUNDAO,patrimonial,39
MANHA,FUNDAO,violencia_social,16
MANHA,FUNDAO,objetos,3
MANHA,FUNDAO,digital,1
NOITE,FUNDAO,patrimonial,33
NOITE,FUNDAO,violencia_social,31
NOITE,FUNDAO,objetos,16
NOITE,FUNDAO,digital,1
TARDE,FUNDAO,patrimonial,68
TARDE,FUNDAO,violencia_social,19
TARDE,FUNDAO,objetos,13
MADRUGADA,GOVERNADOR LINDENBERG,violencia_social,8
MADRUGADA,GOVERNADOR LINDENBERG,patrimonial,2
MADRUGADA,GOVERNADOR LINDENBERG,objetos,1
MANHA,GOVERNADOR LINDENBERG,patrimonial,14
MANHA,GOVERNADOR LINDENBERG,violencia_social,5
MANHA,GOVERNADOR LINDENBERG,digital,3
NOITE,GOVERNADOR LINDENBERG,patrimonial,7
NOITE,GOVERNADOR LINDENBERG,violencia_social,7
NOITE,GOVERNADOR LINDENBERG,objetos,3
NOITE,GOVERNADOR LINDENBERG,digital,1
TARDE,GOVERNADOR LINDENBERG,patrimonial,12
TARDE,GOVERNADOR LINDENBERG,violencia_social,5
TARDE,GOVERNADOR LINDENBERG,digital,1
TARDE,GOVERNADOR LINDENBERG,objetos,1
MADRUGADA,GUACUI,patrimonial,21
MADRUGADA,GUACUI,violencia_social,21
MADRUGADA,GUACUI,objetos,11
MANHA,GUACUI,patrimonial,64
MANHA,GUACUI,violencia_social,16
MANHA,GUACUI,objetos,9
NOITE,GUACUI,violencia_social,52
NOITE,GUACUI,patrimonial,32
NOITE,GUACUI,objetos,10
TARDE,GUACUI,patrimonial,69
TARDE,GUACUI,violencia_social,44
TARDE,GUACUI,objetos,5
TARDE,GUACUI,digital,1
MADRUGADA,GUARAPARI,objetos,178
MADRUGADA,GUARAPARI,patrimonial,172
MADRUGADA,GUARAPARI,violencia_social,63
MADRUGADA,GUARAPARI,digital,1
MANHA,GUARAPARI,patrimonial,575
MANHA,GUARAPARI,objetos,113
MANHA,GUARAPARI,violencia_social,104
MANHA,GUARAPARI,digital,2
NOITE,GUARAPARI,patrimonial,381
NOITE,GUARAPARI,objetos,205
NOITE,GUARAPARI,violencia_social,123
NOITE,GUARAPARI,digital,5
TARDE,GUARAPARI,patrimonial,898
TARDE,GUARAPARI,objetos,163
TARDE,GUARAPARI,violencia_social,112
TARDE,GUARAPARI,digital,9
MADRUGADA,IBATIBA,patrimonial,11
MADRUGADA,IBATIBA,objetos,10
MADRUGADA,IBATIBA,violencia_social,10
MANHA,IBATIBA,patrimonial,50
MANHA,IBATIBA,violencia_social,24
MANHA,IBATIBA,objetos,6
NOITE,IBATIBA,violencia_social,43
NOITE,IBATIBA,patrimonial,23
NOITE,IBATIBA,objetos,8
TARDE,IBATIBA,patrimonial,77
TARDE,IBATIBA,violencia_social,30
TARDE,IBATIBA,objetos,7
MADRUGADA,IBIRACU,patrimonial,5
MADRUGADA,IBIRACU,violencia_social,2
MANHA,IBIRACU,patrimonial,29
MANHA,IBIRACU,violencia_social,10
MANHA,IBIRACU,objetos,4
NOITE,IBIRACU,violencia_social,29
NOITE,IBIRACU,patrimonial,14
NOITE,IBIRACU,objetos,6
NOITE,IBIRACU,digital,1
TARDE,IBIRACU,patrimonial,32
TARDE,IBIRACU,violencia_social,24
TARDE,IBIRACU,objetos,3
MADRUGADA,IBITIRAMA,patrimonial,3
MADRUGADA,IBITIRAMA,violencia_social,2
MANHA,IBITIRAMA,patrimonial,8
MANHA,IBITIRAMA,objetos,2
MANHA,IBITIRAMA,violencia_social,1
NOITE,IBITIRAMA,violencia_social,12
NOITE,IBITIRAMA,patrimonial,3
TARDE,IBITIRAMA,patrimonial,13
TARDE,IBITIRAMA,violencia_social,6
TARDE,IBITIRAMA,objetos,1
MADRUGADA,ICONHA,objetos,2
MADRUGADA,ICONHA,patrimonial,2
MADRUGADA,ICONHA,violencia_social,2
MANHA,ICONHA,patrimonial,25
MANHA,ICONHA,violencia_social,10
