municipio,tipo_objeto,acao_objeto,quantidade
MARATAIZES,BICICLETA,ROUBADO,1
MARECHAL FLORIANO,APARELHOS TELEFONICOS,FURTADO,10
MARECHAL FLORIANO,BICICLETA,FURTADO,2
MARECHAL FLORIANO,VEICULO,ROUBADO,2
MARECHAL FLORIANO,APARELHOS TELEFONICOS,ROUBADO,1
MARECHAL FLORIANO,VEICULO,FURTADO,1
MARILANDIA,APARELHOS TELEFONICOS,FURTADO,7
MARILANDIA,VEICULO,FURTADO,7
MARILANDIA,BICICLETA,FURTADO,6
MIMOSO DO SUL,APARELHOS TELEFONICOS,FURTADO,24
MIMOSO DO SUL,VEICULO,FURTADO,4
MIMOSO DO SUL,BICICLETA,FURTADO,3
MIMOSO DO SUL,BICICLETA,ROUBADO,3
MIMOSO DO SUL,VEICULO,ROUBADO,2
MIMOSO DO SUL,APARELHOS TELEFONICOS,ROUBADO,1
MONTANHA,APARELHOS TELEFONICOS,FURTADO,14
MONTANHA,BICICLETA,FURTADO,6
MONTANHA,VEICULO,FURTADO,5
MONTANHA,APARELHOS TELEFONICOS,ROUBADO,3
MONTANHA,VEICULO,ROUBADO,1
MUCURICI,VEICULO,FURTADO,2
MUCURICI,APARELHOS TELEFONICOS,FURTADO,1
MUNIZ FREIRE,APARELHOS TELEFONICOS,FURTADO,4
MUNIZ FREIRE,VEICULO,FURTADO,3
MUNIZ FREIRE,BICICLETA,FURTADO,1
MUNIZ FREIRE,VEICULO,ROUBADO,1
MUQUI,APARELHOS TELEFONICOS,FURTADO,10
MUQUI,VEICULO,FURTADO,3
MUQUI,BICICLETA,FURTADO,1
NOVA VENECIA,APARELHOS TELEFONICOS,FURTADO,39
NOVA VENECIA,VEICULO,FURTADO,15
NOVA VENECIA,APARELHOS TELEFONICOS,ROUBADO,8
NOVA VENECIA,VEICULO,ROUBADO,2
NOVA VENECIA,BICICLETA,FURTADO,1
PANCAS,APARELHOS TELEFONICOS,FURTADO,10
PANCAS,VEICULO,FURTADO,6
PANCAS,APARELHOS TELEFONICOS,ROUBADO,1
PANCAS,BICICLETA,FURTADO,1
PEDRO CANARIO,APARELHOS TELEFONICOS,FURTADO,14
PEDRO CANARIO,APARELHOS TELEFONICOS,ROUBADO,3
PEDRO CANARIO,BICICLETA,FURTADO,3
PEDRO CANARIO,VEICULO,FURTADO,3
PINHEIROS,APARELHOS TELEFONICOS,FURTADO,18
PINHEIROS,APARELHOS TELEFONICOS,ROUBADO,9
PINHEIROS,VEICULO,FURTADO,5
PINHEIROS,VEICULO,ROUBADO,2
PINHEIROS,BICICLETA,FURTADO,1
PIUMA,APARELHOS TELEFONICOS,FURTADO,33
PIUMA,VEICULO,FURTADO,14
PIUMA,APARELHOS TELEFONICOS,ROUBADO,13
PIUMA,BICICLETA,FURTADO,11
PIUMA,VEICULO,ROUBADO,1
PONTO BELO,APARELHOS TELEFONICOS,FURTADO,2
PONTO BELO,APARELHOS TELEFONICOS,ROUBADO,1
PONTO BELO,BICICLETA,FURTADO,1
PRESIDENTE KENNEDY,APARELHOS TELEFONICOS,FURTADO,5
PRESIDENTE KENNEDY,VEICULO,FURTADO,2
PRESIDENTE KENNEDY,APARELHOS TELEFONICOS,ROUBADO,1
PRESIDENTE KENNEDY,BICICLETA,FURTADO,1
PRESIDENTE KENNEDY,VEICULO,ROUBADO,1
RIO BANANAL,APARELHOS TELEFONICOS,FURTADO,5
RIO BANANAL,VEICULO,FURTADO,4
RIO BANANAL,BICICLETA,FURTADO,2
RIO BANANAL,APARELHOS TELEFONICOS,ROUBADO,1
RIO BANANAL,VEICULO,ROUBADO,1
RIO NOVO DO SUL,APARELHOS TELEFONICOS,FURTADO,8
RIO NOVO DO SUL,VEICULO,FURTADO,4
RIO NOVO DO SUL,BICICLETA,FURTADO,3
RIO NOVO DO SUL,APARELHOS TELEFONICOS,ROUBADO,1
RIO NOVO DO SUL,VEICULO,ROUBADO,1
SANTA LEOPOLDINA,VEICULO,FURTADO,5
SANTA LEOPOLDINA,APARELHOS TELEFONICOS,FURTADO,4
SANTA LEOPOLDINA,APARELHOS TELEFONICOS,ROUBADO,2
SANTA MARIA DE JETIBA,VEICULO,FURTADO,27
SANTA MARIA DE JETIBA,APARELHOS TELEFONICOS,FURTADO,9
SANTA MARIA DE JETIBA,BICICLETA,FURTADO,8
SANTA MARIA DE JETIBA,APARELHOS TELEFONICOS,ROUBADO,4
SANTA MARIA DE JETIBA,VEICULO,ROUBADO,4
SANTA TERESA,VEICULO,FURTADO,11
SANTA TERESA,APARELHOS TELEFONICOS,FURTADO,2
SANTA TERESA,BICICLETA,FURTADO,2
SANTA TERESA,VEICULO,ROUBADO,1
SAO DOMINGOS DO NORTE,APARELHOS TELEFONICOS,FURTADO,5
SAO DOMINGOS DO NORTE,VEICULO,FURTADO,2
SAO GABRIEL DA PALHA,APARELHOS TELEFONICOS,FURTADO,27
SAO GABRIEL DA PALHA,VEICULO,FURTADO,17
SAO GABRIEL DA PALHA,APARELHOS TELEFONICOS,ROUBADO,8
SAO GABRIEL DA PALHA,VEICULO,ROUBADO,4
SAO GABRIEL DA PALHA,BICICLETA,FURTADO,3
SAO JOSE DO CALCADO,APARELHOS TELEFONICOS,FURTADO,3
SAO JOSE DO CALCADO,VEICULO,FURTADO,3
SAO MATEUS,APARELHOS TELEFONICOS,ROUBADO,82
SAO MATEUS,APARELHOS TELEFONICOS,FURTADO,45
SAO MATEUS,VEICULO,FURTADO,44
SAO MATEUS,VEICULO,ROUBADO,26
SAO MATEUS,BICICLETA,FURTADO,5
SAO MATEUS,BICICLETA,ROUBADO,1
SAO ROQUE DO CANAA,VEICULO,FURTADO,3
SAO ROQUE DO CANAA,APARELHOS TELEFONICOS,FURTADO,2
